Headline,Date
TechCrunch: Facebook now tackling opioid abuse problem,08-16-2018
"CLASS ACTION UPDATE for FB, HMNY and NLSN: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",08-16-2018
"Thinking about buying stock in Apple, Facebook, Helios and Matheson Analytics Inc, JD.com or Walmart?",08-16-2018
Q2 hedge fund wrapup,08-16-2018
"Snap +3.5%; Cantor gets bullish, SunTrust starts at Sell",08-16-2017
Trump tweets that Amazon causes job losses; Amazon initiated at SunTrust,08-16-2017
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $71.0M of FB on 8/9/16,08-16-2016
"WhatsApp's largest Indian competitor raises $175M, valued at $1.4B",08-16-2016
"Stocks End Mixed on Positive US Data, Conciliatory Remarks From China on Trade Dispute",08-15-2019
Instagram users can flag false info,08-15-2019
Plaintiffs argue Facebook knew of privacy leak vulnerability,08-15-2019
"Thinking about trading options or stock in Walt Disney Co, Facebook, JPMorgan Chase, Microsoft, or Netflix?",08-15-2019
Microsoft Admits to Collecting Voice Data in Updated Privacy Policy,08-15-2019
SHAREHOLDER ALERT: RMTI TTPH FB HMNY GDS NLSN SBGI ORCL: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,08-15-2018
Twitter joins social peers in suspending Alex Jones,08-15-2018
"Apple, Facebook among tech companies filing cell location legal brief",08-15-2017
Virtual and Augmented Reality Markets are Projected to Grow,08-15-2017
Pre-Market Briefing: US Equities Futures Rise Amid Abating Geopolitical Fears; Retail Sales Data on Tap,08-15-2017
Facebook Rolls Out Marketplace to 17 Countries Across Europe,08-15-2017
Chief Operating Officer Sandberg Sheryl Exer. Acquires $544.4K of FB on 8/11/16,08-15-2016
Instagram rolling out new business tools,08-15-2016
"Market Chatter: Microsoft, Facebook, Google Face New EU Regulation on Phone Services",08-15-2016
Activision Blizzard Shares Add 2% as Third Point Takes Stake in Company,08-15-2016
Facebook simplifies Group privacy settings,08-14-2019
Market Chatter: Facebook Hired Contractors to Transcribe Users' Audio Clips,08-14-2019
"NOTICE FB: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc. – FB",08-14-2018
Sector Update: Strong Gains for Tech Stocks Today,08-14-2018
Sector Update: Tech Stocks Posting Solid Gains Although Chipmakers Lag,08-14-2018
"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of GLNCY, GLCNF, SBGL, NWL, FLKS and FB",08-14-2018
"Jana gets back into Facebook; discloses stakes in Alphabet, Wells Fargo",08-14-2018
"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Facebook, Inc. (FB) and Lead Plaintiff Deadline – September 25, 2018",08-14-2018
Sector Update: Technology Stocks Higher in Pre-Market Trading; Canadian Solar Struggles After Q2 Miss,08-14-2018
Facebook aqui-hires for interactive live videos,08-14-2018
Facebook Scores Deal to Broadcast La Liga Matches to Indian Subcontinent Free of Charge,08-14-2018
New positions at Third Point,08-14-2017
Market Chatter: Facebook Said to OK Chinese App Resembling Its Moments App,08-14-2017
Pre-Market Briefing: US Equities Futures Bounce Back After Slump,08-14-2017
Tech breakups might be antitrust remedy - FTC chief,08-13-2019
Facebook used contractors to transcribe user audio - Bloomberg,08-13-2019
Last Oculus co-founder departs Facebook,08-13-2019
RBC's Mahaney: Facebook best risk-reward option in sector,08-13-2018
"WSJ: India looks to ""level playing field"" with U.S. tech giants",08-13-2018
"CLASS ACTION UPDATE for FLKS and FB: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",08-13-2018
Portfolio moves by Greenwoods Asset Management,08-13-2018
"Facebook approached Netflix, Disney about TV chat device support - report",07-31-2019
"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of COOL, ORA and FB",07-31-2018
"SHAREHOLDER ALERT: Brower Piven Notifies Investors of Class Action Lawsuit And Encourages Those Who Have Losses In Excess Of $100,000 From Investment In Facebook, Inc. (Nasdaq: FB) To Contact Brower Piven Before The Lead Plaintiff Deadline",07-31-2018
NYT: Facebook identifies coordinated campaign to shape midterms,07-31-2018
"CLASS ACTION UPDATE for ANW and FB: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",07-31-2018
"Stock Indexes Rise in Early Trading on Positive Home-Price Data, Grouping of Economic Reports",07-31-2018
"Dow Gains Fifth Day to Record High While Tech Stocks Weigh on Nasdaq, S&P 500",07-31-2017
Close Update: Dow Closes At Record High While Nasdaq and S&P Struggle Under Tech Losses,07-31-2017
MT Newswires' Analyst Notebook: FB,07-31-2017
"BetterInvesting Top 100 Up 1 Percent in June, 14.3% Annually for Past Five Years",07-31-2017
Stocks Mixed in US With Dow Up Fifth Day to Record High,07-31-2017
Market Chatter: Facebook Eases More Than 1% Though Barron's Expects Shares to Hit $200 Within A Year,07-31-2017
"Facebook -1.7% as Pivotal cuts to Sell, sees 17.5% downside",07-31-2017
"Analyst Actions: Facebook Downgraded to Sell From Hold by Pivotal, Price Target Kept at $140/Share",07-31-2017
Facebook shows off 'Aquila' Internet drone,07-31-2015
Facebook warns over Libra plans,07-30-2019
Nasdaq Leads US Stock Selloff With Third Straight Day of Losses,07-30-2018
Close Update: Stocks Slide With Tech-Sector Selloff Handing Nasdaq Third Straight Loss,07-30-2018
"FACEBOOK DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $1 Million In Facebook, Inc. To Contact The Firm",07-30-2018
Mid-Day Update: Wall Street Lower as Tech Sector Drags,07-30-2018
"Stock Indexes Mostly Lower in Early Trading After Mixed Home Sales Print, Chamber Report on Tariffs",07-30-2018
"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Facebook, Inc. (FB) and Lead Plaintiff Deadline - September 25, 2018",07-30-2018
"Avalon Holdings Corp., Chesapeake Energy, Facebook, Gastar Exploration and Twitter get Stock Score Report ratings from InvestorsObserver",07-30-2018
"Report: Developing Opportunities within Facebook, Depomed, Freeport-McMoRan, The Home Depot, Earthstone Energy, and Nuance Communications — Future Expectations, Projections Moving into 2018",07-30-2018
"Market Chatter: Facebook Venture Has Not Been Issued a License, Chinese Regulator Says",07-30-2018
Amazon Taps Trade Desk to Expand Video-Ad Offerings to Marketers,07-29-2019
"FACEBOOK INVESTOR ALERT: Kaskela Law LLC Announces Shareholder Class Action Lawsuit Against Facebook, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",07-29-2018
Facebook 10-Q: $3B-$5B potential IRS tax liability,07-29-2016
Facebook Says It May Owe Up to $5 Bln in U.S. Taxes Due to IRS Probe,07-29-2016
Facebook now 5th most valuable company in the world,07-29-2016
"Facebook -3.3% after earnings call; sales growth, spending, usage discussed",07-29-2015
Facebook Reports Second Quarter 2015 Results,07-29-2015
"FACEBOOK SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit Against Facebook, Inc. - FB",07-28-2018
UK lawmakers: Hold tech firms liable for fake news,07-28-2018
"Financialinsiders.com Earnings Recap Week Ending July 28th, 2017",07-28-2017
"Stocks Falter in Intraday US Trade as Oil Price Retreats, Ford Weighs",07-28-2016
"Wall Street Remains Defensive as FOMC Statement Weighs, Earnings Underwhelm",07-28-2016
--Analyst Actions: Mizuho Securities Reiterates Facebook Buy Rating; Lifts PT to $150 from $140,07-28-2016
--Analyst Actions: RBC Capital Reiterates Facebook Outperform Rating; Lifts PT to $170 vs $165,07-28-2016
Analyst Actions: Facebook's Price Target From Pivotal Nudged Up to $167 After Q2 Beat; Shares Eye New High,07-28-2016
"EQUITY ALERT: Rosen Law Firm Announces Filing of Securities Class Action Lawsuit Against Facebook, Inc. – FB",07-27-2018
"Shareholder sues Facebook, Zuckerberg after tumble",07-27-2018
Stocks Falter by US Close as Tech-Sector Selloff Dents Measures,07-27-2018
"FACEBOOK SHAREHOLDER ALERT: Kaskela Law LLC Announces Shareholder Class Action Lawsuit Against Facebook, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",07-27-2018
"Pomerantz Law Firm Announces the Filing of a Class Action against Facebook, Inc. and Certain Officers – FB",07-27-2018
Pierce Bainbridge Investigates Potential Class Action Against Facebook,07-27-2018
Facebook not yet a bargain - Heard on the Street,07-27-2018
"The Reasons Behind The Story – Key Research Reports on Facebook, Salesforce, Cherry Hill Mortgage Investment, Boston Scientific, First Merchants, and The Western Union",07-27-2018
"Close Update: Nasdaq Roiled By Midday Sell-Off, Dow Keeps Upward Momentum",07-27-2017
Sector Update: Early Rise for Tech Sector Fades This Afternoon,07-27-2017
Facebook +2.9% after strong Q2; analysts raise targets,07-27-2017
Midday Update: Stocks Slip Off Record Highs,07-27-2017
"Dow Notches New Record on Verizon Rally as Nasdaq, S&P 500 Give Back Gains",07-27-2017
"S&P 500 Movers: Johnson Controls Slumps 8%, Leads Losers; Tractor Supply Climbs 7%",07-27-2017
"Wall Street Climbs to Record Highs on Strong Q2 Results, Cautious Fed",07-27-2017
Premarket Gainers as of 9:05 am,07-27-2017
Futures Extend Post-FOMC Gains as Earnings Continue to Impress,07-27-2017
"Futures Build on Post-FOMC Gains, Nasdaq Rallies as Facebook and Paypal Beat Expectations",07-27-2017
"--Analyst Actions: RBC Boosts Price Target on Facebook to $195 From $185, Maintains Outperform Rating",07-27-2017
Facebook Earnings Beat Expectations as Mobile Advertising Revenue Surges,07-27-2017
Pre-Market Briefing: US Equities Futures Rally Amid Slew of Corporate Earnings; Fed Weighs on Dollar,07-27-2017
MT Newswires After Hours News Movers,07-27-2016
Forecast Report: FB,07-27-2016
MT Newswires' After-Hours Trading Range Analysis: FB,07-27-2016
"FB, Q2, Operating Metrics Released",07-27-2016
Facebook Blows Past Q2 Expectations - Surging 7% After-Hours,07-27-2016
Facebook Reports Second Quarter 2016 Results,07-27-2016
"Earnings Reaction History: Facebook Inc., 40.0% Follow-Through Indicator, 5.8% Sensitive",07-27-2016
Market Chatter: Facebook a No-Show For Seventh Tax Summons From IRS,07-27-2016
OPTIONS: Straddle Prices for Companies Reporting Financial Results this Week,07-27-2016
"Critical Alerts For Organovo, Facebook, BlackBerry, GW Pharmaceuticals and Stratasys Released By InvestorsObserver",07-27-2015
"FB bans alcohol, tobacco sales between users",07-26-2019
"Market Chatter: Google, Facebook Under Probe by Australian Competition Watchdog",07-26-2019
"After Hours Watch List Scorecard: AXTI, QCOM, FB, MHK",07-26-2018
Nasdaq Sinks as Tech Falters on Facebook's Sharp Selloff While Dow Hits Five-Month High,07-26-2018
Close Update: Nasdaq Stumbles on Facebook's Selloff as Trade Bolsters Dow,07-26-2018
Sector Update: Tech Shares Hit by Facebook Woes,07-26-2018
Technology - Top 5 Gainers / Losers as of 2.55 PM (07/26/2018),07-26-2018
SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Facebook Inc. - FB,07-26-2018
"Analyst Actions: Oppenheimer Cuts Facebook Price Target to $200, Keeps at Outperform - Stock Slumps 20%",07-26-2018
Sector Update: Facebook Large Drag on Technology Sector Despite Big Gains for Most Chipmakers,07-26-2018
Midday Update: Dow Insulated From Meltdown in Facebook,07-26-2018
Midday Gainers / Losers (07/26/2018),07-26-2018
"S&P 500 Movers: Nielsen Sinks 26%, Leads Losers; Advanced Micro Devices Jumps 13%",07-26-2018
Stocks Mixed as Facebook's Disappointment Offsets Europe-US Trade News,07-26-2018
Facebook Meltdown Weighs on Nasdaq; Dow Extends Gains After US/EU Resolve Trade Spat,07-26-2018
Analyst Actions: JP Morgan Reiterates Facebook Overweight Rating; Lowers PT to $205 From $242,07-26-2018
"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of Facebook, Inc. (FB)",07-26-2018
"Thinking about buying stock in Abercrombie & Fitch, CVS Health Corp, Disney, Facebook or Under Armour?",07-26-2018
Facebook -22% as analysts line up downgrades,07-26-2018
Premarket Losers as of 9:05 am (7/26/2018),07-26-2018
Wall Street Set for Mixed Open After Facebook Earnings; Jobless Claims Rise,07-26-2018
"Sector Update: Technology Stocks Lower in Pre-Market; Facebook Sinks as Revenue, Active Daily Users Miss Expectations",07-26-2018
"Facebook Shares Drop More Than 20% as Revenue, Active Daily Users Miss Expectations",07-26-2018
Analyst Actions: Facebook's Price Target From RBC Cut to $225 From $250; Outperform Rating Maintained,07-26-2018
"Stock Move: Facebook Plunges 20% in Pre-Market After Q2 Revenue Misses, EPS Beats; Warns of Slowdown in 2H",07-26-2018
Analyst Actions: Raymond James Cuts Facebook to Outperform From Strong Buy,07-26-2018
Analyst Actions: Facebook's Price Target From Pivotal Cut to $140 From $142; Sell Rating Maintained,07-26-2018
Sector Update: Tech,07-26-2018
"US Futures Mixed After Facebook Earnings, Data Eyed",07-26-2018
"Facebook (FB) Alert: Johnson Fistel Investigates Facebook, Inc. Following Second Quarter Report; Investors Encouraged to Contact Firm",07-26-2018
MT Newswires After-Hours News Movers,07-26-2017
"FB, Q2, Operating Metrics Released",07-26-2017
"Facebook beats by $0.19, beats on revenue",07-26-2017
"Facebook's Q2 Profits, Sales up Sharply Over Year Ago Levels, Beat Street Estimates - Down 3% in Early After-Hours",07-26-2017
Facebook Reports Second Quarter 2017 Results,07-26-2017
"Earnings Reaction History: Facebook Inc., 27.3% Follow-Through Indicator, 4.5% Sensitive",07-26-2017
Bloomberg: Facebook TV shows now to come mid-August,07-26-2017
"Options trade ideas for ANI Pharmaceuticals, Facebook, Gilead Sciences, Hilton Worldwide and Shutterfly offer returns of 21% or more!",07-26-2017
"Pre-Market Briefing: US Equities Futures Flat to Higher; Eyes on Federal Reserve, Corporate Earnings",07-26-2017
Market Chatter: Facebook TV Episodes Said to Come Online Mid-August,07-26-2017
Chief Operating Officer Sandberg Sheryl Files To Sell $12.8M of FB on 7/18/16,07-26-2016
Officer Cox Christopher K Sells $1.9M of FB on 7/25/16,07-26-2016
Analyst Actions: Credit Suisse Lifts Facebook PT to $250 From $235; Maintains Outperform Rating,07-25-2019
Analyst Actions: Canaccord Genuity Lifts Facebook PT to $240 From $225; Reiterates Buy Rating,07-25-2019
Analyst Actions: Nomura Lifts Facebook PT to $235 From $226; Maintains Buy Rating,07-25-2019
Analyst Actions: Jefferies & Co Lifts Facebook PT to $250 From $230; Maintains Buy Rating,07-25-2019
Analyst Actions: Citigroup Lifts Facebook PT to $240 From $212; Maintains Buy Rating,07-25-2019
Analyst Actions: KeyBank Lifts Facebook PT to $240 From $220; Maintains Overweight Rating,07-25-2019
"Thinking about trading options or stock in Facebook, Alphabet, Knight-Swift Transportation, 3M, or Micron Technology?",07-25-2019
"--Analyst Actions: Pivotal Research Lifts Price Target on Facebook to $225 From $220, Maintains Buy",07-25-2019
"Wall Street Sees Mixed Open Amid Earnings, Data",07-25-2019
Sector Update: Most Top Tech Stocks Decline Pre-Market Thursday,07-25-2019
"--Analyst Actions: RBC Lifts PT on Facebook to $260 From $250, Maintains Outperform",07-25-2019
"Analyst Actions: Morgan Stanley Boosts Price Target on Facebook to $235 From $220, Maintains Overweight",07-25-2019
"Analyst Actions: Deutsche Bank Boosts Price Target on Facebook to $235 From $230, Maintains Buy",07-25-2019
"Facebook Restricts Microsoft, Sony From Accessing Friend Data",07-25-2019
"MTNewswires' After Hours Watch List: AXTI, QCOM, FB, MHK",07-25-2018
Forecast Report: FB,07-25-2018
MT Newswires' After-Hours Trading Range Analysis: FB,07-25-2018
MTNewswires After-Hours News Movers,07-25-2018
Facebook -20% on guidance for slowing revenue growth,07-25-2018
After Hours Gainers / Losers (07/25/2018),07-25-2018
"Twitter, Snap dip amid Facebook earnings slide",07-25-2018
Facebook Reports Second Quarter 2018 Results,07-25-2018
"Earnings Reaction History: Facebook Inc., 33.3% Follow-Through Indicator, 4.6% Sensitive",07-25-2018
Market Chatter: China Reportedly Withdraws Approval of Facebook Venture,07-25-2018
NYT: China withdraws approval for Facebook unit,07-25-2018
Notable earnings after Wednesday’s close,07-25-2017
Market Chatter: Facebook Said to be Planning to Introduce Amazon's Echo-Like Speaker in Q1,07-25-2017
"CEOs of Facebook, Amazon, Alphabet, Other Major Tech Cos to Testify on Net Neutrality",07-25-2017
Facebook Holds Advantage for Longs off Post-Market Earnings Moves,07-25-2017
Facebook joining the smart speaker market?,07-25-2017
"Breakfast Technical Briefing on Internet Stocks -- Facebook, Fang, Wix.com, and Alphabet",07-25-2017
"Market Chatter: EU Said to Ask Facebook, Google, Twitter to Amend User Terms by End September",07-25-2017
Pre-Market Briefing: US Equities Futures Near Unchanged as Investors Sit on Fence Ahead of Fed Decision,07-25-2017
Longs Hold Advantage Trading Facebook Shares off Post-Market Earnings Reports,07-25-2016
"Facebook, Hawaiian Holdings, US Steel, BP, and Williams Companies and more offer option-trading opportunities that offer returns of more than 20%",07-25-2016
Facebook Discloses New FTC Antitrust Probe Into Social Media Business,07-24-2019
MT Newswires After-Hours News Movers,07-24-2019
"Stocks End Mixed as Dow Weighed Down by Boeing, Caterpiller; S&P, Nasdaq Set New Highs",07-24-2019
"Close Update: S&P 500, Nasdaq Close at Record Highs as Boeing, Caterpillar Weigh on Dow",07-24-2019
"Facebook +3.2% with another beat on earnings, revenues",07-24-2019
Facebook's Q2 Results Ahead of Expectations,07-24-2019
"Facebook EPS beats by $0.12, beats on revenue",07-24-2019
Facebook Reports Second Quarter 2019 Results,07-24-2019
"Sector Update: Tech Stocks Ending Near Session Highs, Overcoming Early Weakness",07-24-2019
"Justice Department to Review Practices of Online Platforms, Targeting Big Tech",07-24-2019
"Earnings Reaction History: Facebook Inc, 16.7% Follow-Through Indicator, 5.5% Sensitive",07-24-2019
"Sector Update: Tech Stocks Starting to Add to Narrow Morning Advance, Led by Semiconductor Firms",07-24-2019
"Facebook to Pay $5 Billion, Submit to New Restrictions in Settlement With FTC; Resolves SEC Claims",07-24-2019
"FTC Hits Facebook With Record $5 Bln Penalty; Imposes Privacy, Data Security Checks",07-24-2019
"Thinking about trading options or stock in Amazon, Facebook, Intel, Paypal, or Starbucks?",07-24-2019
Wall Street Falters Ahead of Opening Bell as DOJ Launches Broad Antitrust Review of Tech Titans,07-24-2019
FTC approves $5B Facebook settlement; FB -1.4%,07-24-2019
Facebook to settle with SEC for $100M-plus - WSJ,07-24-2019
Notable earnings after Wednesday’s close,07-24-2018
Facebook Historically Favors Long Play off Earnings-Driven After-Hours Moves,07-24-2018
"Wall Street Rises After Strong Earnings From Tech, Health Care Sectors",07-24-2018
"Alphabet's Beat on Revenue, Earnings Shows Company Can Likely Maintain Revenue Growth, Canaccord Says",07-24-2018
Market Chatter: Facebook Sets Up Chinese Subsidiary - Shares Up 2% Pre-Bell,07-24-2018
Facebook sets up Chinese subsidiary,07-24-2018
Driving Diversity via Creative Approaches - Report on Facebook,07-24-2015
Facebook CEO has certification mandate in settlement - Reuters,07-23-2019
US Justice Department Opens Antitrust Probe of Tech Companies,07-23-2019
Justice Dept. launches broad new antitrust probe into big tech,07-23-2019
"Facebook Expected by Canaccord to Miss Consensus Q2 Earnings, Top on Revenue Expectations",07-23-2019
"PayPal Expected by Canaccord to Miss Consensus on Q2 Earnings, Revenue",07-23-2019
Facebook Tends to Narrow or Reverse Post-Market Earnings Moves in Follow-On Regular Session,07-23-2019
"Thinking about trading options or stock in Beyond Meat, Facebook, Hasbro, Netflix, or Signet Jewelers?",07-23-2019
Market Chatter: Facebook's Libra Digital Currency Attracts Fraudsters Ahead of Next Year's Launch,07-23-2019
Goldman: Facebook checks strong on Instagram's back,07-23-2018
Facebook Doubles Office Space in London,07-23-2018
Facebook doubles London presence with office acquisition,07-23-2018
Close Update: US Stocks Close Higher as Investors Look Ahead to Heavy Week of Earnings,07-22-2019
Sector Update: Tech Stocks Adding to Market-Leading Advance in Late Monday Trade,07-22-2019
Market Chatter: FTC Expected to Soon Announce $5 Bln Settlement with Facebook,07-22-2019
FTC will announce $5B FB settlement - report,07-22-2019
Stocks to watch next week,07-22-2017
Vice President Fischer David B Files To Sell $916.5K of FB on 7/15/16,07-22-2016
Chief Operating Officer Sandberg Sheryl Files To Sell $4.6M of FB on 7/15/16,07-22-2016
Officer Cox Christopher K Files To Sell $4.4M of FB on 7/15/16,07-22-2016
Shareholder HS Trust Files To Sell $2.4M of FB on 7/14/16,07-22-2016
Vice President Schroepfer Michael Todd Files To Sell $3.7M of FB on 7/15/16,07-22-2016
Facebook's Solar-Powered Drone Aquila Completes First Test Flight,07-22-2016
#NAME?,07-22-2016
Facebook bull rings the register,07-22-2016
Facebook market cap now larger than GE,07-22-2015
"Close Update: Dow Weighed Down By GE, As S&P and Nasdaq End the Week Higher",07-21-2017
"Apple, Google, Facebook spent record amounts lobbying Washington",07-21-2017
Facebook explores 'modular' device,07-21-2017
Market Chatter: Facebook Suspends Analytics Firm on Worries About Sharing of Public User-Data,07-20-2018
Analyst Actions: Stifel Nicolaus Reiterates Facebook Buy Rating; Lifts PT to $242 From $202,07-20-2018
"Thinking about buying or selling stock in Advanced Micro Devices, BioPharmX, Facebook, Netflix or Tesla?",07-20-2018
WhatsApp curbs message forwarding,07-20-2018
Market Chatter: Facebook Plans News Subscription Product,07-20-2017
Pre-Market Briefing: US Equities Futures Point up as Rally Continues; ECB Seen Holding Steady,07-20-2017
Facebook Shares Touch New High as Messenger's Active Users Top 1 Bln,07-20-2016
Facebook's Messenger reaches 1B active user milestone,07-20-2016
Google may be shutting down its initiative to create a standalone VR headset,07-20-2016
AMC Entertainment Says Moviegoers Will Be Able to Buy Tickets On Facebook,07-19-2018
"Facebook, AMC Theatres partner on ticket buying",07-19-2018
Facebook Pledges to Remove Misinformation That Instigates Violence,07-19-2018
Fake news policy change at Facebook,07-19-2018
"Equities Rally on Banking and Tech Strength as Nasdaq, S&P Hit Records",07-19-2017
Channel checks prompt Needham to reiterate Buy on Facebook,07-19-2017
Tencent +3.7% as WeChat could benefit from WhatsApp's China hurdles,07-19-2017
Facebook to test subscription news product in fall,07-19-2017
Analyst Actions: Needham & Co Reiterates Facebook Buy Rating; Lifts PT to $185 from $165,07-19-2017
Market Chatter: Facebook's WhatsApp Partially Blocked in China,07-19-2017
"Pre-Market Briefing: US Equities Futures Mixed, Nasdaq Higher; Dollar Regains Some Ground",07-19-2017
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $168.9M of FB on 7/11/16,07-19-2016
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $34.0M of FB on 7/12/16,07-19-2016
Officer Cox Christopher K Files To Sell $1.8M of FB on 7/11/16,07-19-2016
Chief Operating Officer Sandberg Sheryl Exer. Acquires $544.4K of FB on 7/18/16,07-19-2016
Faceboook's WhatsApp ban in Brazil suspended,07-19-2016
Facebook's WhatsApp blocked in Brazil,07-19-2016
Market Chatter: Facebook Earmarks $2.2Mln to Pay Internet Stars for Creating Live Video Content,07-19-2016
Three lunchtime reads,07-19-2016
"Facebook's Instagram Reportedly Will No Longer Provide ""Likes"" Tally",07-18-2019
"Thinking about trading options or stock in Apple, Facebook, Honeywell, Square, or Tesla?",07-18-2019
Instagram test will hide like count,07-18-2019
Report: India may send second WhatsApp notice over violence,07-18-2018
"Earnings Send US Stocks In Split Directions as Netflix Helps Nasdaq to Record, Dow Slides",07-18-2017
Facebook expanding huge New Mexico data center,07-18-2017
Market Chatter: Facebook To Launch News Subscription Service,07-18-2017
Facebook's What'sApp said to be Partially Blocked in China; Shares Jump 3.8%,07-18-2017
Vice President Schroepfer Michael Todd Sells $2.4M of FB on 7/14/16,07-18-2016
"Facebook trade offers a 30% return in 32 days, or find similar option trades on ACADIA Pharmaceuticals, Perrigo Co., Jabil Circuit, and SolarCity",07-18-2016
Waters calls for Facebook's Zuckerberg to come testify on Libra,07-17-2019
Exploding eSports Market Tapping into Multi-billion Dollar Social Media Landscape,07-17-2018
"U.S. lawmakers urge Facebook, Google to resist Vietnam cybersecurity law",07-17-2018
IBM Seeks $167 Mln from Groupon in E-Commerce Patent Infringement Case,07-17-2018
"FB, LNKD, PCLN up strongly after Google's earnings; Facebook tops $95",07-17-2015
Libra's Marcus handles wallet questions at Senate panel,07-16-2019
"Facebook Set to Face Bipartisan Resistance to Libra, Senate Testimony Set to Quell Concerns",07-16-2019
Big Tech under fire on Capitol Hill,07-16-2019
"--Analyst Actions: Credit Suisse Ups Facebook Price Target to $265 from $240, Keeps at Outperform - Stock Softer",07-16-2018
"--Analyst Actions: Facebook Price Target From Pivotal Boosted to $142 From $138, Sell Rating Maintained",07-16-2018
"Alphabet, Facebook, Twitter Receive Price-Target Increases From Pivotal Research Ahead of Q2 Reports",07-16-2018
Facebook/Oculus buy gesture-recognition firm for reported ~$60M,07-16-2015
"Target adds Facebook exec to lead tech infrastructure, operations",07-15-2019
Market Chatter: Alphabet to Reiterate in Senate Judiciary Subcommittee Tuesday Products 'Not Politically Biased',07-15-2019
Treasury Dept. has serious concerns over Libra - Mnuchin,07-15-2019
Facebook says Libra won't launch until regulators satisfied,07-15-2019
"Thinking about trading options or stock in Apple, Amazon, Facebook, Lululemon Athletica, or Micron Technology?",07-15-2019
Facebook Faces Another Delay in Launching of Libra as Japan Sets Up Group to Investigate Impact,07-15-2019
"Market Chatter: Facebook's Libra Flagged by Finance Executive as ""Potential Threat"" to China's Mobile Payment System",07-15-2019
"Facebook ad partner reports lower Q2 ad click prices, strong click growth",07-15-2015
Facebook Starts Running Ads In Marketplace Hub,07-14-2017
Oculus Rift bundle price will go up $100 after sale,07-14-2017
Facebook to integrate Instant Articles within Messenger,07-14-2016
"Facebook Diversity Data Shows Little Change in Senior Management Ethnicity, Slight Uptick for Women",07-14-2016
"Critical Alerts For Alibaba, Facebook, ImmunoGen, Dominos Pizza and Invensense Released By InvestorsObserver",07-14-2015
S&P 500 Rises 1.5% This Week to Four-Month High as Investors Focus on Strong Equity Gains,07-13-2018
"Jefferies boosts Facebook target on ad strength, Instagram monetization",07-13-2018
"Facebook, Twitter, Google to return to Capitol on Tuesday (updated)",07-13-2018
"Facebook, Twitter, Google to return to Capitol on Tuesday",07-13-2018
Microsoft urges regulation of facial recognition,07-13-2018
"Facebook Outlook Positive as Instagram, Stories Ads Likely Catalyst For Growth, Barclays Says",07-13-2018
"Analyst Actions: Barclays Ups Facebook PT To $226, Reiterates Overweight Rating",07-13-2018
"Market Chatter: Facebook Said to Plan Cheaper, Wireless Oculus Rift for 2018",07-13-2017
Facebook planning $200 wireless Oculus VR headset next year,07-13-2017
Sun Valley conference gets underway,07-13-2017
Vice President Fischer David B Files To Sell $1.5M of FB on 7/7/16,07-13-2016
Officer Cox Christopher K Sells $1.8M of FB on 7/11/16,07-13-2016
Director Koum Jan Sells $203.4M of FB on 7/11/16-7/12/16,07-13-2016
Betterinvesting Magazine Releases September Stock To Study And Undervalued Stock Choices For Investors' Informational And Educational Use,06-30-2017
Facebook will demote News Feed links from spamming accounts,06-30-2017
Facebook Rolls Out Find Wi-Fi to iPhone and Android Devices,06-30-2017
"Facebook rolls out ""Find Wi-Fi"" service worldwide for Android and iOS",06-30-2017
Germany gives social networks 24 hours to remove hate speech or risk fine,06-30-2017
"Market Updates on Internet Information Providers Equities -- Facebook, Alphabet, 58.com, and MeetMe",06-30-2016
"Amazon, eBay, Other Web Stocks' Estimates Cut By Goldman Sachs Amid International, Currency Risks",06-30-2016
"Critical Alerts For Facebook, JD.com, BlackBerry, Peabody Energy and Clean Energy Fuels Released By InvestorsObserver",06-30-2015
UK politician: Facebook still evading data-scandal questions,06-29-2018
Instagram launches AI-backed offensive comment blocker,06-29-2017
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $1.3M of FB on 6/21/16,06-29-2016
